name,admin,country,lat,lon,elevation_m,population,bortle,kind
New York,New York,United States,40.71,-74.01,10,8300000,9,city
Los Angeles,California,United States,34.05,-118.24,89,3900000,9,city
Chicago,Illinois,United States,41.88,-87.63,181,2700000,9,city
Houston,Texas,United States,29.76,-95.37,13,2300000,9,city
Phoenix,Arizona,United States,33.45,-112.07,331,1600000,8,city
Philadelphia,Pennsylvania,United States,39.95,-75.17,12,1600000,9,city
San Antonio,Texas,United States,29.42,-98.49,198,1500000,8,city
San Diego,California,United States,32.72,-117.16,19,1400000,8,city
Dallas,Texas,United States,32.78,-96.80,131,1300000,9,city
San Jose,California,United States,37.34,-121.89,25,1000000,8,city
Austin,Texas,United States,30.27,-97.74,149,960000,8,city
Jacksonville,Florida,United States,30.33,-81.66,5,950000,8,city
Columbus,Ohio,United States,39.96,-83.00,275,910000,8,city
Indianapolis,Indiana,United States,39.77,-86.16,218,880000,8,city
San Francisco,California,United States,37.77,-122.42,16,810000,8,city
Seattle,Washington,United States,47.61,-122.33,53,750000,8,city
Nashville,Tennessee,United States,36.16,-86.78,169,690000,8,city
Denver,Colorado,United States,39.74,-104.99,1609,710000,8,city
Boston,Massachusetts,United States,42.36,-71.06,43,650000,9,city
Portland,Oregon,United States,45.52,-122.68,15,650000,8,city
Las Vegas,Nevada,United States,36.17,-115.14,610,650000,8,city
Detroit,Michigan,United States,42.33,-83.05,183,630000,8,city
Memphis,Tennessee,United States,35.15,-90.05,79,620000,8,city
Baltimore,Maryland,United States,39.29,-76.61,10,580000,9,city
Milwaukee,Wisconsin,United States,43.04,-87.91,188,570000,8,city
Albuquerque,New Mexico,United States,35.08,-106.65,1619,560000,7,city
Tucson,Arizona,United States,32.22,-110.97,728,550000,6,city
Kansas City,Missouri,United States,39.10,-94.58,277,510000,8,city
Atlanta,Georgia,United States,33.75,-84.39,320,500000,8,city
Miami,Florida,United States,25.76,-80.19,2,440000,9,city
Minneapolis,Minnesota,United States,44.98,-93.27,264,430000,8,city
Cincinnati,Ohio,United States,39.10,-84.51,147,310000,8,city
Orlando,Florida,United States,28.54,-81.38,25,310000,8,city
Pittsburgh,Pennsylvania,United States,40.44,-80.00,239,300000,8,city
Saint Louis,Missouri,United States,38.63,-90.20,142,300000,8,city
Salt Lake City,Utah,United States,40.76,-111.89,1288,200000,7,city
Boise,Idaho,United States,43.62,-116.20,824,240000,7,city
Springfield,Missouri,United States,37.21,-93.29,401,170000,6,city
Columbia,Missouri,United States,38.95,-92.33,231,130000,6,city
Flagstaff,Arizona,United States,35.20,-111.65,2106,76000,5,city
Rolla,Missouri,United States,37.95,-91.77,344,20000,5,city
