id,name,ra_deg,dec_deg,size_arcmin,type,mag
M31,Andromeda Galaxy,10.68,41.27,178,galaxy,3.4
M33,Triangulum Galaxy,23.46,30.66,62,galaxy,5.7
M42,Orion Nebula,83.82,-5.39,85,emission,4.0
M45,Pleiades,56.87,24.11,110,reflection,1.6
M8,Lagoon Nebula,270.90,-24.38,90,emission,6.0
M16,Eagle Nebula,274.70,-13.85,35,emission,6.0
M17,Swan Nebula,275.20,-16.18,11,emission,6.0
M20,Trifid Nebula,270.60,-23.03,28,emission,6.3
M27,Dumbbell Nebula,299.90,22.72,8,planetary,7.4
M57,Ring Nebula,283.40,33.03,1.4,planetary,8.8
M51,Whirlpool Galaxy,202.47,47.20,11,galaxy,8.4
M63,Sunflower Galaxy,198.96,42.03,12.6,galaxy,8.6
M81,Bode's Galaxy,148.89,69.07,26.9,galaxy,6.9
M82,Cigar Galaxy,148.97,69.68,11.2,galaxy,8.4
M101,Pinwheel Galaxy,210.80,54.35,28.8,galaxy,7.9
M104,Sombrero Galaxy,190.00,-11.62,8.7,galaxy,8.0
M106,Messier 106,184.74,47.30,18.6,galaxy,8.4
M13,Hercules Globular,250.42,36.46,20,cluster,5.8
M3,Messier 3,205.55,28.38,18,cluster,6.2
M5,Messier 5,229.64,2.08,23,cluster,5.6
M92,Messier 92,259.28,43.14,14,cluster,6.3
M22,Messier 22,279.10,-23.90,24,cluster,5.1
NGC7000,North America Nebula,314.75,44.37,120,emission,4.0
IC5070,Pelican Nebula,312.70,44.35,60,emission,8.0
IC1396,Elephant's Trunk Nebula,324.75,57.50,170,emission,3.5
NGC6960,Western Veil Nebula,311.95,30.71,70,snr,7.0
NGC6992,Eastern Veil Nebula,313.00,31.72,75,snr,7.0
IC1805,Heart Nebula,38.20,61.45,150,emission,6.5
IC1848,Soul Nebula,44.55,60.43,100,emission,6.5
NGC281,Pacman Nebula,13.85,56.62,35,emission,7.4
NGC7635,Bubble Nebula,350.20,61.20,15,emission,10.0
IC1318,Sadr Region (Butterfly),305.30,40.25,180,emission,7.0
Sh2-155,Cave Nebula,344.20,62.50,50,emission,7.7
NGC2244,Rosette Nebula,98.00,4.95,80,emission,9.0
IC434,Horsehead Nebula,85.25,-2.46,60,emission,7.3
NGC2024,Flame Nebula,85.43,-1.85,30,emission,10.0
M78,Messier 78,86.69,0.08,8,reflection,8.3
NGC1499,California Nebula,60.00,36.62,145,emission,6.0
IC405,Flaming Star Nebula,79.00,34.27,37,emission,6.0
M97,Owl Nebula,168.70,55.02,3.4,planetary,9.9
NGC6888,Crescent Nebula,303.06,38.35,20,emission,7.4
M1,Crab Nebula,83.63,22.01,6,snr,8.4
NGC891,Silver Sliver Galaxy,35.64,42.35,13.5,galaxy,9.9
NGC4565,Needle Galaxy,189.09,25.99,15.9,galaxy,9.6
M64,Black Eye Galaxy,194.18,21.68,10,galaxy,8.5
M94,Croc's Eye Galaxy,192.72,41.12,11.2,galaxy,8.2
NGC7331,Deer Lick Group,339.27,34.42,10.5,galaxy,9.5
NGC253,Sculptor Galaxy,11.89,-25.29,27.5,galaxy,7.1
NGC2903,NGC 2903,143.04,21.50,12.6,galaxy,8.9
M66,Leo Triplet (M66),170.06,12.99,9,galaxy,8.9
M83,Southern Pinwheel,204.25,-29.87,12.9,galaxy,7.5
NGC7293,Helix Nebula,337.41,-20.84,25,planetary,7.3
NGC7023,Iris Nebula,315.40,68.16,18,reflection,6.8
IC5146,Cocoon Nebula,328.35,47.27,12,emission,7.2
NGC6946,Fireworks Galaxy,308.72,60.15,11.5,galaxy,8.8
NGC7380,Wizard Nebula,341.80,58.08,25,emission,7.2
NGC7822,NGC 7822,0.75,68.62,60,emission,8.0
NGC4631,Whale Galaxy,190.53,32.54,15.5,galaxy,9.2
